timestamp,t,drone_id,experiment_id,pattern,x,y,z,vx,vy,vz,roll,pitch,yaw,ax,ay,az,gx,gy,gz,mx,my,mz,rpm1,rpm2,rpm3,rpm4,battery
1782571981.3248997,47.452800273895264,drone_1,,hover,,,,,,,,,,0.006,0.016,1.032,-0.072,0.041,-0.004,0.0,0.0,0.0,12315,12836,12594,12610,7.371
1782571981.5748844,47.7027850151062,drone_1,,hover,,,,,,,,,,-0.005,0.022,0.946,-0.011,0.071,-0.027,0.0,0.0,0.0,12531,12674,12239,12970,7.374
1782571981.9244473,48.052347898483276,drone_1,,hover,,,,,,,,,,-0.003,0.013,1.05,0.005,-0.001,0.021,0.0,0.0,0.0,12547,12531,12019,12987,7.368
1782571982.2057078,48.33360838890076,drone_1,,hover,,,,,,,,,,0.001,0.009,0.942,-0.006,-0.027,0.017,0.0,0.0,0.0,12269,12836,12315,12870,7.366
1782571982.4940152,48.62191581726074,drone_1,,hover,,,,,,,,,,0.0,0.003,1.03,0.008,-0.009,-0.012,0.0,0.0,0.0,12239,12886,12376,12722,7.371
1782571982.7938178,48.92171835899353,drone_1,,hover,,,,,,,,,,0.003,-0.009,1.044,-0.011,-0.017,0.003,0.0,0.0,0.0,12165,12987,12406,12594,7.369
1782571983.0913827,49.21928334236145,drone_1,,hover,,,,,,,,,,-0.003,0.009,0.963,-0.03,0.05,-0.003,0.0,0.0,0.0,12315,12919,12531,12578,7.365
1782571983.4267688,49.55466938018799,drone_1,,hover,,,,,,,,,,0.014,0.009,1.068,0.022,0.027,-0.013,0.0,0.0,0.0,12391,12690,12254,12755,7.371
1782571983.9575899,50.085490465164185,drone_1,,hover,,,,,,,,,,0.011,0.0,0.995,0.014,0.028,0.019,0.0,0.0,0.0,12547,12674,12180,12531,7.365
1782571984.596805,50.72470569610596,drone_1,,hover,,,,,,,,,,0.017,0.013,0.996,0.076,0.054,-0.02,0.0,0.0,0.0,12787,12406,12077,12820,7.368
1782571985.1336484,51.26154899597168,drone_1,,hover,,,,,,,,,,0.011,0.041,1.013,-0.091,0.03,0.011,0.0,0.0,0.0,12345,12578,12300,12484,7.369
1782571985.6322803,51.760180950164795,drone_1,,hover,,,,,,,,,,0.001,0.01,0.98,0.008,0.008,-0.006,0.0,0.0,0.0,12610,12531,12254,12690,7.358
1782571986.15678,52.28468060493469,drone_1,,hover,,,,,,,,,,0.004,0.038,0.996,0.01,0.031,-0.011,0.0,0.0,0.0,12453,12330,12150,12690,7.361
1782571986.4940841,52.6219847202301,drone_1,,hover,,,,,,,,,,-0.002,0.029,1.047,-0.086,-0.027,0.033,0.0,0.0,0.0,12106,12903,12658,12531,7.363
1782571986.77567,52.90357065200806,drone_1,,hover,,,,,,,,,,0.011,0.016,1.04,-0.024,0.064,0.023,0.0,0.0,0.0,11806,13175,12853,12033,7.356
1782571987.0290413,53.15694189071655,drone_1,,hover,,,,,,,,,,0.004,0.013,1.033,-0.017,-0.025,-0.017,0.0,0.0,0.0,11695,13386,12936,12048,7.352
1782571987.3344383,53.46233892440796,drone_1,,hover,,,,,,,,,,0.013,0.009,0.989,0.03,0.06,-0.019,0.0,0.0,0.0,12004,13020,12578,12254,7.357
1782571987.5952349,53.723135471343994,drone_1,,hover,,,,,,,,,,0.015,0.011,1.068,0.014,0.073,0.003,0.0,0.0,0.0,12077,12919,12706,12269,7.359
1782571987.8605423,53.98844289779663,drone_1,,hover,,,,,,,,,,0.006,0.0,1.038,0.093,0.041,-0.007,0.0,0.0,0.0,12254,13020,12642,12345,7.352
1782571988.270578,54.398478507995605,drone_1,,hover,,,,,,,,,,0.009,0.018,1.052,-0.053,0.044,0.001,0.0,0.0,0.0,12484,12642,12437,12674,7.353
1782571988.5262506,54.65415120124817,drone_1,,hover,,,,,,,,,,0.001,0.023,1.042,0.004,-0.031,0.011,0.0,0.0,0.0,12500,12853,12239,12626,7.35
1782571988.8717568,54.99965739250183,drone_1,,hover,,,,,,,,,,0.005,0.0,0.949,0.01,-0.042,0.0,0.0,0.0,0.0,12468,12658,12269,12594,7.35
1782571989.2732341,55.401134729385376,drone_1,,hover,,,,,,,,,,0.019,0.02,0.967,0.106,-0.007,0.008,0.0,0.0,0.0,12706,12531,11904,12886,7.346
1782571989.6320665,55.75996708869934,drone_1,,hover,,,,,,,,,,0.001,-0.005,1.014,-0.038,-0.001,-0.005,0.0,0.0,0.0,12642,12755,12165,12787,7.351
1782571989.9050238,56.03292441368103,drone_1,,hover,,,,,,,,,,0.0,0.015,1.043,-0.012,0.043,-0.004,0.0,0.0,0.0,12626,12706,12106,12722,7.352
1782571990.1656237,56.29352426528931,drone_1,,hover,,,,,,,,,,0.013,0.008,0.959,-0.002,-0.056,0.011,0.0,0.0,0.0,12626,12787,12195,12674,7.347
1782571990.406005,56.53390550613403,drone_1,,hover,,,,,,,,,,-0.007,0.015,1.002,0.026,0.057,0.008,0.0,0.0,0.0,12453,13020,12376,12610,7.345
1782571990.6512828,56.77918338775635,drone_1,,hover,,,,,,,,,,0.001,0.013,1.016,0.051,-0.046,0.003,0.0,0.0,0.0,12269,13020,12360,12391,7.346
1782571990.9049091,57.03280973434448,drone_1,,hover,,,,,,,,,,0.004,0.01,1.03,-0.014,0.041,-0.022,0.0,0.0,0.0,12224,12970,12345,12500,7.341
